"","CerebellarVol","SurfaceArea","CerebralVol","AbsGI","FoldingLength","FoldingNumber","Lambda","Delta","CrusVol_1_3","CerebroCerebellar","CerebellarCrus","BrainVol","CerebellumNormalized","CerebrumNormalized","CrusNormalized","CerebellarVol-95%CI","SurfaceArea-95%CI","CerebralVol-95%CI","AbsGI-95%CI","FoldingLength-95%CI","FoldingNumber-95%CI","Lambda-95%CI","Delta-95%CI","CrusVol_1_3-95%CI","CerebroCerebellar-95%CI","CerebellarCrus-95%CI","BrainVol-95%CI","CerebellumNormalized-95%CI","CerebrumNormalized-95%CI","CrusNormalized-95%CI","CerebellarVol+95%CI","SurfaceArea+95%CI","CerebralVol+95%CI","AbsGI+95%CI","FoldingLength+95%CI","FoldingNumber+95%CI","Lambda+95%CI","Delta+95%CI","CrusVol_1_3+95%CI","CerebroCerebellar+95%CI","CerebellarCrus+95%CI","BrainVol+95%CI","CerebellumNormalized+95%CI","CerebrumNormalized+95%CI","CrusNormalized+95%CI"
"35",3.26820169963369,3.70067039308676,4.07622728389361,2.05848335786402,2.57370260318588,1.3077041212291,20.858497882384,3.11504326021494,2.74439477581266,16.1272546138139,15.3560448058782,4.2139813860561,0.120527015909782,0.745362424533268,0.0197245244900923,2.65266002536575,3.19306568095653,3.45242997037383,1.302364352396,2.06511451367468,0.833705309261293,14.5311719979496,0.772372658412164,2.0882833566159,11.7524633957811,8.08764374198221,3.61484234191795,0.0949971384479892,0.622779573677511,0.00920427070970552,3.88374337390164,4.20827510521699,4.70002459741338,2.81460236333204,3.08229069269709,1.78170293319691,27.1858237668185,5.45771386201771,3.40050619500942,20.5020458318467,22.6244458697742,4.81312043019425,0.146056893371574,0.867945275389024,0.030244778270479
"36",3.56714526735856,4.00777700248149,4.42832088536471,2.4283516643477,2.88599276918029,1.51825152360249,17.5726756456993,4.56372636063859,2.9280165206439,14.307483659329,16.8341406372224,4.5536289529282,0.109502523776248,0.766507582272778,0.0198739668821278,3.06776215048358,3.59593023885734,3.9222131879972,1.81471741309571,2.47334448248058,1.13369608328167,12.4388634515044,2.66313754132743,2.396304811218,10.7546745666537,10.9074848985911,4.06740667378114,0.0887016685906252,0.66657604202076,0.0112854008553819,4.06652838423354,4.41962376610564,4.93442858273222,3.04198591559969,3.29864105588001,1.90280696392331,22.7064878398943,6.46431517994974,3.45972823006981,17.8602927520043,22.7607963758538,5.03985123207526,0.130303378961871,0.866439122524796,0.0284625329088737
"37",3.89929008468362,4.29832104809593,4.77082622758377,2.76264818891164,3.19129838967125,1.76406708683085,14.2764034574321,5.7230443545384,3.25032803759386,13.9781186396663,18.9368048550187,4.88992138349661,0.107288947871418,0.771700245429772,0.0226766904806946,3.51475409383158,3.9812396059788,4.38121929059913,2.28921505724606,2.87363769691389,1.4678500305765,10.324168313921,4.25697880045025,2.83970998612063,11.2104316492151,14.3116843903327,4.51540325754378,0.0909575790309451,0.693652474346763,0.0159355865837553,4.28382607553565,4.61540249021307,5.16043316456841,3.23608132057721,3.50895908242862,2.0602841430852,18.2286386009433,7.18910990862654,3.66094608906708,16.7458056301176,23.5619253197047,5.26443950944943,0.123620316711891,0.849748016512781,0.0294177943776338
"38",3.80282457550483,4.26733563908999,4.71733630246985,2.7618044881346,3.1670809898994,1.74061781246862,13.63850125316,5.81262987744443,3.10415746110771,12.5734413084592,17.6774675640674,4.83382882713616,0.0972901633596495,0.777021926887657,0.0194917385108657,3.48519686551659,4.0055116488774,4.39568465973465,2.36960657673465,2.90483132380149,1.49582822104767,10.3755134080093,4.59799878521789,2.76328199745279,10.2477184050401,13.7936447757862,4.52440058567769,0.0834462033742729,0.711347129815719,0.0137920983280422,4.12045228549307,4.52915962930258,5.03898794520505,3.15400239953455,3.4293306559973,1.98540740388957,16.9014890983107,7.02726096967096,3.44503292476262,14.8991642118784,21.5612903523485,5.14325706859463,0.111134123345026,0.842696723959595,0.0251913786936892
"39",3.77358553499075,4.28212301085181,4.72538733190183,2.80449377052265,3.19146958195326,1.76835228393647,13.0071908550664,5.84597505423592,3.09754919668675,11.4249702045655,17.8308737814776,4.82923913328558,0.0900280905445926,0.792683148848333,0.0184844341060137,3.51121672023002,4.06594318278258,4.4598790530727,2.4791562469225,2.97500261856933,1.56600093610456,10.3136702451069,4.83844583283687,2.81392519460508,9.45868300209427,14.5473568332403,4.5735483246607,0.0781858334870436,0.737019796661482,0.0136217009089696,4.03595434975147,4.49830283892103,4.99089561073096,3.1298312941228,3.4079365453372,1.97070363176838,15.7007114650258,6.85350427563497,3.38117319876841,13.3912574070367,21.1143907297149,5.08492994191045,0.101870347602142,0.848346501035184,0.0233471673030578
"40",3.68498662536913,4.24215599372505,4.68334067125445,2.7128444968333,3.15721590512961,1.75130121102092,13.2072787577939,5.57794209065517,2.9341398867572,10.2084272701764,16.3957096641675,4.77335204543758,0.0822602940236064,0.810747079138302,0.0154627537162275,3.40944611261083,4.01548753154265,4.40507010971936,2.36860547727891,2.93043267613528,1.53849061015487,10.386124206425,4.50938059301745,2.63351242359579,8.06036059465988,12.9451457163971,4.50534175465216,0.0693389142022801,0.751601946573567,0.010318942010286,3.96052713812744,4.46882445590745,4.96161123278953,3.05708351638769,3.38399913412395,1.96411181188697,16.0284333091629,6.64650358829288,3.23476734991861,12.3564939456928,19.8462736119379,5.04136233622299,0.0951816738449327,0.869892211703037,0.0206065654221691
"41",3.8001832908871,4.30277990412289,4.7447959182481,2.85458074549766,3.21279927369774,1.78379609704602,12.73129935285,5.96413674072227,3.16125160165529,11.558998503614,18.4557907942683,4.85030417371431,0.0909058710808386,0.790262179160292,0.019388449399689,3.55251770259597,4.09874447828966,4.49422284275094,2.54705261443973,3.00851371694942,1.59271585282049,10.1891961213512,5.01185333569845,2.89208361419138,9.68702117679488,15.3245419072097,4.60890526982492,0.0795812479395833,0.737205522283087,0.0147308932881871,4.04784887917823,4.50681532995613,4.99536899374525,3.16210887655558,3.41708483044606,1.97487634127155,15.2734025843488,6.91642014574608,3.4304195891192,13.4309758304331,21.587039681327,5.0917030776037,0.102230494222094,0.843318836037496,0.024046005511191
"42",3.80375089093368,4.31339385818997,4.75234561506348,2.88968929241441,3.22702659083425,1.79711064234938,12.4456611692786,6.00522726157469,3.17276575063713,11.4046031289848,18.7754621317428,4.85800619116621,0.0903487436290751,0.793358277905539,0.0194016582688367,3.55303882305628,4.1069597174939,4.49885716109376,2.57765849243368,3.02039659288372,1.60355370980495,9.87444273933891,5.03830390712913,2.89858917450095,9.48235919417015,15.5985725145878,4.61379900411524,0.0787206379142086,0.739381369808102,0.0146583549816479,4.05446295881108,4.51982799888604,5.00583406903319,3.20172009239514,3.43365658878478,1.99066757489382,15.0168795992183,6.97215061602024,3.44694232677331,13.3268470637994,21.9523517488979,5.10221337821719,0.101976849343942,0.847335186002977,0.0241449615560255
"43",3.85254765753186,4.35983948881344,4.80245318793017,2.97143928921926,3.28144515204085,1.82527337077822,11.7889102646798,6.11091332117082,3.18966613563498,11.2488191288876,19.6507283340615,4.91173568990527,0.0909359647064893,0.800168389771734,0.0195112562526195,3.62141641310559,4.17015546610181,4.56979178639236,2.67848714062177,3.09192860655486,1.64631893792463,9.43197222785183,5.19938370004025,2.93351790769031,9.32201209148753,16.6635382690139,4.6872624075409,0.079207219413987,0.748187405623933,0.0149873838290314,4.08367890195813,4.54952351152506,5.03511458946799,3.26439143781675,3.47096169752683,2.00422780363182,14.1458483015079,7.02244294230139,3.44581436357965,13.1756261662876,22.637918399109,5.13620897226964,0.102664709998992,0.852149373919534,0.0240351286762076
"44",3.88429745976599,4.32734361623247,4.78046735314267,2.86542806731157,3.22118026101871,1.77420409797967,13.1510003891688,6.20663384064391,3.34727331126154,12.8787111240343,19.2062948485901,4.89157710567816,0.0971892108563739,0.76482727336922,0.022808898670951,3.66450396482527,4.14627347347159,4.55810818971417,2.59225649568465,3.03988559936249,1.60455236089079,10.8943554293082,5.36127662280335,3.10379885229093,11.1986481248446,16.3486600475938,4.67716474370707,0.0869114018319054,0.716805235004524,0.0185097721399146,4.1040909547067,4.50841375899335,5.00282651657116,3.13859963893849,3.40247492267493,1.94385583506855,15.4076453490294,7.05199105848446,3.59074777023215,14.558774123224,22.0639296495863,5.10598946764925,0.107467019880842,0.812849311733916,0.0271080252019874
