WilsonReederName;English Name;SpecimenID;Wikipedia Name;Hominoidea;Clade;CerebellarVol;Surface Area;CerebralVol;AbsGI;Folding Length;Folding number;Lambda;Delta;CrusVol_obs1;CrusVol_obs2;CrusVol_obs3;CrusVol_1_3;Body mass species mean;CerebroCerebellar;CerebellarCrus;CerebellarMass;CerebralMass;CrusMass;CerebroCerebellarMass;CerebellarCrusMass
Loris_tardigradus;Red slender loris;NycticebusTardig_08cb;Red_slender_loris;Nonape;Loridae;2,64997341539081;3,20604124509000;3,48729552542898;1,572872;2,11548059659563;1,041392685158225;22,6798;0,978701;NA;NA;NA;NA;2,28555730900777;0,1454379987513340;NA;2,314281088082902;15,91249266321244;NA;0,1454379987513340;NA
Callithrix_penicillata;Black-pencilled marmoset;OuistitiAPinceau_b4aa;Black-tufted_marmoset;Nonape;Cebidae;2,68564378743553;3,34275712143056;3,59527250773808;1,825680;2,15272563303017;0,845098040014257;25,5491;2,714760;NA;NA;NA;NA;2,51587384371168;0,1231320981099153;NA;1,478325076219512;12,00600898475610;NA;0,1231320981099153;NA
Trachypithecus_(Trachypithecus)_germaini;Indochinese lutung;PithecusGermaini_6a2c;Indochinese_lutung;Nonape;Colobinae;3,57473465419517;4,15367531545285;4,57964165090012;2,606734;3,04634981446741;1,643452676486187;14,1525;5,727130;NA;NA;NA;NA;NA;0,0988764813994664;NA;NA;NA;NA;NA;NA
Saimiri_sciureus;Common squirrel monkey;SaimiriCassiquia_7176;Squirrel_monkey;Nonape;Cebidae;2,94592996250646;3,69090066547378;3,97274029161504;2,279938;2,59763671235285;1,146128035678238;16,2881;4,251440;2,01283722470517;NA;NA;2,01283722470517;2,90254677931399;0,0940133808722854;0,116656048701069;1,105053191489362;11,75421180725908;0,1289111389236546;0,0940133808722854;0,116656048701069
Saimiri_sciureus;Common squirrel monkey;SaimiriCassiquia_eb44;Squirrel_monkey;Nonape;Cebidae;2,98095448021523;3,61450225891187;3,88579061811805;2,185199;2,52005868981381;1,230448921378274;16,7394;4,059500;NA;NA;NA;NA;2,90254677931399;0,1244984263722805;NA;1,197864518147685;9,62152336420526;NA;0,1244984263722805;NA
Lagothrix_lagotricha;Common woolly monkey;SingeLaineuxLago_0f84;Brown_woolly_monkey;Nonape;Atelidae;3,74781828311411;4,25142470821995;4,69359413059449;2,740803;3,18263525765521;1,716003343634799;12,3321;5,550210;2,94138718875374;2,89364908324431;NA;2,94138718875374;3,85430604180108;0,1132984980174666;0,156159678297658;0,782550262237762;6,90697825594406;0,1222027972027972;0,1132984980174666;0,156159678297658
Varecia_variegata_variegata;Black-and-white ruffed lemur;VariNoirEtBlancL_4d0e;Black-and-white_ruffed_lemur;Nonape;Lemuriformes;3,52852346022257;3,67128744735141;4,20499828592285;1,525707;2,60093113936710;1,414973347970818;22,5551;0,481061;NA;NA;NA;NA;NA;0,2106323990560103;NA;NA;NA;NA;NA;NA
Chlorocebus_sabaeus;Green monkey;VervetCercopithe_72ae;Green_monkey;Nonape;Cercopithecini;3,62003361365398;4,25595851213681;4,72938388200814;2,621512;3,17058516220830;1,812913356642855;13,6511;5,346760;2,70329137811866;2,73091469446694;NA;2,70329137811866;3,63467875217868;0,0777409299887221;0,121131686661205;0,966840560528757;12,43669918367347;0,1171150278293135;0,0777409299887221;0,121131686661205
Papio_hamadryas;Hamadryas baboon;BabouinCercopith_a723;Hamadryas_baboon;Nonape;Papionini;3,97673036838715;4,47909416373252;4,95357211567582;3,106194;3,39854196279401;1,949390006644913;11,3370;6,369460;3,26505378850401;NA;NA;3,26505378850401;4,15075643986031;0,1054771174794044;0,194233179817065;0,669844396254417;6,35061340565371;0,1301060070671378;0,1054771174794044;0,194233179817065
Macaca_fascicularis;Crab-eating macaque;MacacaFascicular_3a21;Crab-eating_macaque;Nonape;Papionini;3,75831927643087;4,35517099312627;4,76150498445332;3,135813;3,24805212192767;1,812913356642855;11,9060;6,844290;NA;NA;NA;NA;3,62849110496712;0,0992691474315402;NA;1,348429271230299;13,58356857210068;NA;0,0992691474315402;NA
