...1;CerebellarVol;SurfaceArea;CerebralVol;AbsGI;FoldingLength;FoldingNumber;Lambda;Delta;CrusVol_1_3;CerebroCerebellar;CerebellarCrus;CerebellarVol-95%CI;SurfaceArea-95%CI;CerebralVol-95%CI;AbsGI-95%CI;FoldingLength-95%CI;FoldingNumber-95%CI;Lambda-95%CI;Delta-95%CI;CrusVol_1_3-95%CI;CerebroCerebellar-95%CI;CerebellarCrus-95%CI;CerebellarVol+95%CI;SurfaceArea+95%CI;CerebralVol+95%CI;AbsGI+95%CI;FoldingLength+95%CI;FoldingNumber+95%CI;Lambda+95%CI;Delta+95%CI;CrusVol_1_3+95%CI;CerebroCerebellar+95%CI;CerebellarCrus+95%CI
45;5787,074523749378;4,23303820480907;47060,32244709832;2,72771503266012;3,12870861749727;1,704864604741720;13,7439490183350;5,857361202915360;902,089848979840;12,6358254221984;17,1687944786192;2841,531217533721;3,98101720420351;23054,85495023786;2,35743019051991;2,87369897356726;1,476032069229560;10,48381611246380;4,6955215242082602;427,6590622492636;10,37730932376130;13,96154165090750;11785,98050824719;4,48505920541462;96061,06625286190;3,09799987480034;3,38371826142728;1,93369714025387;17,0040819242063;7,01920088162246;1902,838423094564;14,8943415206355;20,3760473063310
46;5513,186034529557;4,22085705174501;45618,41619482747;2,70494255342216;3,11466619761953;1,694454535214600;13,8026301181536;5,872211477241820;799,088723601257;12,4106897558892;16,6993667310252;2772,304846672213;3,97723751479912;22897,64455306571;2,34265401544856;2,86834191039405;1,471929980296490;10,65195882307350;4,7385252060709098;383,0216141214580;10,08968022257510;13,49370263061060;10963,88093387994;4,46447658869091;90884,45282228243;3,06723109139577;3,36099048484502;1,91697909013272;16,9533014132337;7,00589774841273;1667,119464397123;14,7316992892032;19,9050308314397
47;16614,014768242308;4,50941786876891;110301,30969340896;2,95049878323428;3,40489569568004;1,937899566793790;13,0675066581049;6,256023509138300;3528,865619729039;15,5660113535926;21,5537763359160;7512,806223290238;4,22835280443510;49747,44081295320;2,54089799199707;3,12035975859629;1,683336777421390;9,42749261349368;4,9694775605807200;1541,8976772533354;13,20959136159750;18,06590917884280;36740,66367686615;4,79048293310271;244562,91059927631;3,36009957447149;3,68943163276379;2,19246235616620;16,7075207027161;7,54256945769589;8076,341735132741;17,9224313455876;25,0416434929891
48;26174,092082796727;4,64062377390001;163927,83972870250;3,06367644873201;3,52710341118558;2,047106048810160;12,7865933766219;6,667498617204080;5944,028110559889;16,4290329576029;23,3276851012144;12753,370546498019;4,38592392465715;79679,66956380341;2,69171673334599;3,26929672493844;1,816434931887520;9,49052301274458;5,4990002958360504;2816,0524727987308;14,25859084126680;20,14551480947550;53717,80690139536;4,89532362314287;337254,61946854379;3,43563616411803;3,78491009743273;2,27777716573280;16,0826637404992;7,83599693857211;12546,453065206135;18,5994750739390;26,5098553929533
49;48446,969316815892;4,82705115512976;282747,90986799734;3,27199444683623;3,69269736760434;2,195560264146560;12,5706563210813;7,429114537765860;11943,817994314566;17,4118731978039;25,8504265546910;27712,973278717640;4,62917038413242;161449,06690977735;2,98200985388720;3,49244175986017;2,016139611139430;10,01059883238220;6,5189950889383903;6683,7365668902839;15,67176019504400;23,26373604718470;84693,50482097072;5,02493192612710;495180,19561797322;3,56197903978527;3,89295297534852;2,37498091715368;15,1307138097803;8,33923398659333;21343,568354861891;19,1519862005638;28,4371170621972
50;50558,728753227835;4,76285490536461;259653,07386931361;2,95776322776992;3,65042781719766;2,113599155923430;13,2341913877319;6,380384002630400;12317,293666722788;19,4371639342487;25,1256172826050;34179,091695377298;4,62321978223590;175449,67270996154;2,73050085719101;3,51031687587649;1,982836870157500;11,46025939917440;5,6723391118695696;8065,0358980094006;17,62487143799990;23,00621713643940;74787,97493873119;4,90249002849332;384268,13643154589;3,18502559834884;3,79053875851882;2,24436144168937;15,0081233762895;7,08842889339124;18811,537256732532;21,2494564304974;27,2450174287706
51;60243,374151715536;4,92437267302814;360494,39209417359;3,47928830611157;3,77314751831490;2,285591494728520;12,2185229584025;8,146308969534241;15399,669161124191;16,9644230559499;27,1089348303817;36567,334205571169;4,74752589676756;218467,08734848784;3,22034287934560;3,59416257752927;2,125280169288810;9,93047144472732;7,3338620670624097;9175,6882124588064;15,40318545802680;24,74393787797770;99248,80246344939;5,10121944928872;594854,85117512627;3,73823373287755;3,95213245910052;2,44590282016824;14,5065744720776;8,95875587200608;25845,452110073893;18,5256606538731;29,4739317827857
52;50191,416515807352;4,83918085270415;285004,66245103511;3,30381787466671;3,69532871491863;2,211777823857850;12,2841862884542;7,824888223497580;11645,058964679207;17,8835814328357;25,5664512649555;35002,096043739773;4,71106879159703;198552,78329514599;3,10724830448347;3,56616046243493;2,094227939148330;10,64458150500740;7,2099636246023904;8004,0705679633093;16,50196056527860;23,65861144565400;71972,21242736875;4,96729291381127;409098,55943990732;3,50038744484995;3,82449696740233;2,32932770856736;13,9237910719010;8,43981282239277;16942,304186276699;19,2652023003928;27,4742910842570
53;2250,888881125060;3,86256594166067;17855,93486868285;2,25282597273026;2,72345474998186;1,341817500931770;19,4926987557028;4,155478805147350;385,232578516262;12,9184280236725;15,3329409093209;1130,292682697506;3,61858022157396;8945,66749149189;1,89699663358225;2,47644894492721;1,120901213939920;16,33422125140740;3,0380850733396598;187,9455118779762;10,79162538844470;12,24493039356710;4482,46797730384;4,10655166174737;35641,20959535817;2,60865531187827;2,97046055503651;1,56273378792362;22,6511762599983;5,27287253695504;789,612574769238;15,0452306589002;18,4209514250748
54;5319,828000103233;4,19086307537775;43875,08282940819;2,61487084798606;3,09637912402135;1,677959787078100;14,6055953653105;5,185596951546480;881,585282393542;12,6057932157602;17,0047557480074;2714,343609312578;3,95223705633047;22337,77283989067;2,26069242950779;2,85508735177152;1,460813920976010;11,52566645224980;4,0748442042002404;435,2634253938992;10,30576106681750;13,93959030627660;10426,30338089374;4,42948909442503;86177,92414155698;2,96904926646433;3,33767089627118;1,89510565318019;17,6855242783712;6,29634969889273;1785,568381789829;14,9058253647029;20,0699211897382
