"","CerebellarVol","CerebralVol","CrusVol_1_3","CerebellarVol-95%CI","CerebralVol-95%CI","CrusVol_1_3-95%CI","CerebellarVol+95%CI","CerebralVol+95%CI","CrusVol_1_3+95%CI"
"14",3.68962272359628,4.55593537135894,2.88933856079181,2.76238433630753,3.68306365114829,1.75864040155161,4.61686111088504,5.42880709156959,4.02003672003202
"15",3.78860148452895,4.67060862310534,2.99956561021596,3.14631559766761,4.0660792299701,2.21648993206735,4.43088737139029,5.27513801624059,3.78264128836457
"16",4.03841204478295,4.92255464084704,3.29327470482202,3.53641317919543,4.44999049420573,2.68126930688052,4.54041091037046,5.39511878748836,3.90528010276352
"17",3.91155465635918,4.8340356502041,3.12768218939236,3.46014594572524,4.40868701045069,2.57714120265577,4.36296336699313,5.25938428995751,3.67822317612895
"18",3.87112080527773,4.83331115987678,3.06344508260407,3.45391051729667,4.43970192722058,2.55434496963425,4.28833109325879,5.22692039253298,3.57254519557389
"19",4.47890613723344,5.29857835464955,3.83963605734349,4.07713654691111,4.92013493456551,3.34976997144113,4.88067572755578,5.67702177473359,4.32950214324585
"20",4.68994870537867,5.47679278618416,4.10220625342885,4.38871289991169,5.1930228033299,3.73505230553568,4.99118451084565,5.76056276903842,4.46936020132202
"21",4.7752402292819,5.56691544857258,4.20078038335199,4.51277388338764,5.31993908547327,3.88114453746348,5.03770657517615,5.8138918116719,4.5204162292405
"22",4.66609447304682,5.44079313422614,4.07914229862371,4.47951372679841,5.26457326728058,3.85178457072509,4.85267521929523,5.6170130011717,4.30650002652233
"23",3.50616305050547,4.40020697922988,2.66151444487801,3.08730995721835,4.00538046272715,2.15061836110461,3.92501614379258,4.7950334957326,3.17241052865141
"24",3.47805040383157,4.37085306637773,2.62888032293447,3.07546591346495,3.99127772957908,2.13779480612751,3.88063489419819,4.75042840317638,3.11996583974144
"25",3.46315015970212,4.35647822090858,2.61109181688103,3.05910523917365,3.9754795573662,2.11819396369529,3.86719508023059,4.73747688445096,3.10398967006678
