"","CerebellarVol","CerebralVol","CrusVol_1_3","CerebellarVol-95%CI","CerebralVol-95%CI","CrusVol_1_3-95%CI","CerebellarVol+95%CI","CerebralVol+95%CI","CrusVol_1_3+95%CI"
"35",3.26161999562294,4.07660607191625,2.40715258059544,2.63522836944021,3.45770073100074,1.65891636012886,3.88801162180566,4.69551141283176,3.15538880106202
"36",3.56111041603322,4.42844631981603,2.738325802353,3.05294791783347,3.92634897788967,2.13133718389176,4.06927291423296,4.9305436617424,3.34531442081423
"37",3.89261093624501,4.76869917232858,3.12558112737375,3.50126843447227,4.38206158074971,2.65780893033463,4.28395343801775,5.15533676390745,3.59335332441288
"38",3.80342028042676,4.71672973263308,3.00474623509833,3.48011841553698,4.39732696671518,2.61775028115953,4.12672214531654,5.03613249855098,3.39174218903713
"39",3.78259507609481,4.72553197947413,2.96772781521304,3.51546808793956,4.46165463610997,2.64732623339445,4.04972206425006,4.98940932283828,3.28812939703162
"40",3.69995021266444,4.68502706290078,2.85254382752876,3.41929342492885,4.40766491217075,2.51531584003424,3.98060700040003,4.9623892136308,3.18977181502328
"41",3.80940210443368,4.74455358815657,3.00261525357469,3.55718826435831,4.49546730856375,2.69978613009833,4.06161594450904,4.99363986774939,3.30544437705105
"42",3.8154216870053,4.75142954477858,3.00935401010661,3.56001293537731,4.49923351884439,2.7024416547835,4.07083043863329,5.00362557071277,3.31626636542972
"43",3.87078928470472,4.80059254877652,3.07725803530869,3.63513659177303,4.5676342684787,2.79272075827152,4.10644197763641,5.03355082907435,3.36179531234586
"44",3.88158029458633,4.78223273339408,3.10224255115377,3.6576224075777,4.56126193447468,2.83242254681511,4.10553818159496,5.00320353231349,3.37206255549243
"45",3.76041718644017,4.67253012586343,2.95453607721991,3.44597950518797,4.36189831456415,2.57736420327806,4.07485486769237,4.98316193716271,3.33170795116175
"46",3.73964098667711,4.65715576423049,2.92776318385437,3.43519002904282,4.35689636899373,2.56129596467851,4.04409194431139,4.95741515946725,3.29423040303023
"47",4.20549102687245,5.04195016460838,3.51122387678217,3.854776053315,4.69551296687127,3.09157677433458,4.5562060004299,5.38838736234549,3.93087097922976
"48",4.39975394644885,5.21795555136155,3.74799474065374,4.08212086261382,4.90400938755465,3.36808201089627,4.71738703028389,5.53190171516845,4.12790747041121
"49",4.667949618655,5.45474529287093,4.07748329456654,4.42108917313734,5.2108625554906,3.78218105336062,4.91481006417266,5.69862803025126,4.37278553577246
"50",4.67341668475459,5.42894115172853,4.09708107095494,4.49928144327234,5.25664351957938,3.88496628210857,4.84755192623684,5.60123878387767,4.30919585980131
"51",4.76821625694585,5.55571839721325,4.19542999291499,4.54760183019561,5.3377870777744,3.93180653558433,4.9888306836961,5.77364971665209,4.45905345024564
"52",4.67740755369676,5.44090212636954,4.09843604875727,4.5179591624795,5.283019399332,3.90742103495249,4.83685594491401,5.59878485340708,4.28945106256205
"53",3.34995903991485,4.2549737761375,2.47347275075263,3.04562748842118,3.95428511172287,2.10897973844615,3.65429059140852,4.55566244055213,2.83796576305911
"54",3.71538706054292,4.63881433873944,2.89667649621336,3.41793317169674,4.34469938643313,2.53940616501272,4.0128409493891,4.93292929104575,3.253946827414
"55",3.30289600555118,4.20786858433069,2.41798943160234,3.0200799117288,3.92845040479069,2.07900637128068,3.58571209937356,4.48728676387069,2.756972491924
"56",3.2754900338662,4.17994289480474,2.38588831643412,2.98952375352151,3.89742058548448,2.04308889021878,3.56145631421089,4.46246520412501,2.72868774264946
"57",3.11741330095164,4.0244509411571,2.19838248840433,2.80173219914077,3.71287697591122,1.81944663690111,3.43309440276252,4.33602490640297,2.57731833990755
"58",3.31355107848419,4.2197793959175,2.43002688620075,3.01611905558336,3.92589968703761,2.0737014012088,3.61098310138501,4.51365910479738,2.78635237119269
"59",3.61593848472189,4.50684354337836,2.79307486622245,3.35532039038486,4.24915607047602,2.47858781140214,3.87655657905892,4.7645310162807,3.10756192104277
"60",3.14422528781543,3.9386911995787,2.27733880041308,2.5854778535815,3.38665910298345,1.60955982668785,3.70297272204937,4.49072329617396,2.94511777413832
"61",3.16104210616869,3.92911013361736,2.30827150882186,2.62913823920672,3.40352110538218,1.67248095211876,3.69294597313066,4.45469916185254,2.94406206552497
"62",3.0932508796039,3.81104050870881,2.24946956703615,2.66718587139367,3.39035137486053,1.73911399603608,3.51931588781413,4.23172964255708,2.75982513803622
"63",2.99120664251756,3.69763380018196,2.13390778842384,2.5705367472999,3.28237817240657,1.62966338247789,3.41187653773523,4.11288942795736,2.63815219436979
"64",2.71951232589714,3.40503604275088,1.82229110664213,2.34947649376544,3.04035273647069,1.37664499270613,3.08954815802884,3.76971934903107,2.26793722057812
"65",3.31342615677946,4.02529375401332,2.5116112248969,2.93061006372254,3.64765380814542,2.05178829066903,3.69624224983638,4.40293369988121,2.97143415912477
"66",3.35447587226717,4.06909234680395,2.55886488349164,2.99779317073614,3.71751777664738,2.12938987773997,3.7111585737982,4.42066691696052,2.9883398892433
"67",2.82554573764181,3.62680124051873,1.89866687032187,2.26067306967903,3.0691359883801,1.22229709525831,3.39041840560459,4.18446649265735,2.57503664538543
