"","CerebellarVol","CerebralVol","CerebellarVol-95%CI","CerebralVol-95%CI","CerebellarVol+95%CI","CerebralVol+95%CI"
"35",3.26770257038948,4.07749986106613,2.65393386962477,3.46615201445709,3.88147127115418,4.68884770767516
"36",3.56261679306846,4.42887026070833,3.06469931997288,3.93290450092116,4.06053426616404,4.9248360204955
"37",3.8967148227507,4.76962960301014,3.51322656465061,4.38771248859301,4.28020308085078,5.15154671742727
"38",3.80809480468371,4.71694744614952,3.49117483441188,4.40143998233733,4.12501477495555,5.0324549099617
"39",3.78703901951754,4.72489653445268,3.52509034123329,4.46423567468732,4.0489876978018,4.98555739421804
"40",3.71148478572766,4.68476365445785,3.43584850681748,4.41077371906476,3.98712106463785,4.95875358985094
"41",3.81092174219443,4.7435043990133,3.56362352050711,4.49745659797551,4.05821996388175,4.98955220005109
"42",3.81502481960102,4.7498572115246,3.56456005256379,4.50074251361062,4.06548958663826,4.99897190943858
"43",3.86263542039797,4.79717476200318,3.63068625311737,4.5670340076412,4.09458458767857,5.02731551636516
"44",3.88177390380279,4.7823055698733,3.66236121495736,4.56402389547886,4.10118659264823,5.00058724426773
"45",3.76569948759062,4.6730321048933,3.45721704733594,4.36618155505006,4.0741819278453,4.97988265473655
"46",3.74350865245815,4.65675926995408,3.44511754301731,4.36017948525016,4.04189976189899,4.953339054658
"47",4.21051033417094,5.04405617514491,3.86673690361897,4.70184828996216,4.55428376472291,5.38626406032765
"48",4.40599402775173,5.22133380311896,4.09438739295052,4.91119915231314,4.71760066255294,5.53146845392478
"49",4.68160473454367,5.46336237987445,4.43947252284398,5.22243118378626,4.92373694624335,5.70429357596264
"50",4.6843231207103,5.43456454827456,4.51198503456,5.26430406941025,4.8566612068606,5.60482502713886
"51",4.78582195852956,5.56755402367755,4.56943932795162,5.35223037604497,5.00220458910749,5.78287767131014
"52",4.70891260526531,5.46528767716272,4.55145881436568,5.30899977942767,4.86636639616495,5.62157557489776
"53",3.3430732310976,4.25417248470423,3.04459534984449,3.95714193926399,3.64155111235071,4.55120303014447
"54",3.71203584105637,4.63877031276708,3.41965591962232,4.34819396939112,4.00441576249043,4.92934665614304
"55",3.29524888698675,4.20693179589932,3.0178108240256,3.93091081218017,3.57268694994789,4.48295277961846
"56",3.2680412633979,4.17906758201637,2.98751085085308,3.89998042939918,3.54857167594273,4.45815473463357
"57",3.11204890584882,4.02391788438455,2.80263413776466,3.71614984111643,3.42146367393298,4.33168592765266
"58",3.30446140570497,4.21851999140322,3.01269786829745,3.92821486453468,3.59622494311248,4.50882511827175
"59",3.59184673582535,4.50294337383792,3.33518541120563,4.24837194828018,3.84850806044508,4.75751479939565
"60",3.15210164748692,3.93976916055824,2.60457560138739,3.39447514306801,3.69962769358644,4.48506317804847
"61",3.17271562169323,3.93095315232521,2.65136376938378,3.41177566868541,3.69406747400269,4.45013063596501
"62",3.09736960327713,3.81181585025893,2.67992009129402,3.39625487274165,3.51481911526024,4.2273768277762
"63",2.99422518574488,3.69825901290461,2.58209325302746,3.28806596814965,3.4063571184623,4.10845205765956
"64",2.72073372896029,3.40532369526062,2.35831929142996,3.04509099868057,3.08314816649062,3.76555639184067
"65",3.31505774337127,4.02570351746208,2.94005682164955,3.65266537937557,3.690058665093,4.39874165554859
"66",3.35555922326062,4.06918964871258,3.00620884635401,3.72190141622739,3.70490960016724,4.41647788119777
"67",2.82965555420498,3.6266932528509,2.27625480061683,3.07583273247588,3.38305630779312,4.17755377322592
