"","CerebellarVol","SurfaceArea","CerebralVol","AbsGI","FoldingLength","FoldingNumber","Lambda","Delta","CrusVol_1_3","CerebroCerebellar","CerebellarCrus","CerebellarVol-95%CI","SurfaceArea-95%CI","CerebralVol-95%CI","AbsGI-95%CI","FoldingLength-95%CI","FoldingNumber-95%CI","Lambda-95%CI","Delta-95%CI","CrusVol_1_3-95%CI","CerebroCerebellar-95%CI","CerebellarCrus-95%CI","CerebellarVol+95%CI","SurfaceArea+95%CI","CerebralVol+95%CI","AbsGI+95%CI","FoldingLength+95%CI","FoldingNumber+95%CI","Lambda+95%CI","Delta+95%CI","CrusVol_1_3+95%CI","CerebroCerebellar+95%CI","CerebellarCrus+95%CI"
"35",3.26849606196636,3.70203680147416,4.07802349992471,2.0611667829246,2.5753280274359,1.31218203630624,20.8468074744133,3.11009093823164,2.641478125765,16.0153396522212,15.7380487435732,2.652504512619,3.19990798951219,3.45983112836977,1.33645520386424,2.06669672873004,0.858921328092724,14.3378479383012,0.830141951736709,2.00277981076813,12.0656799019182,9.82942369842605,3.88448761131373,4.20416561343612,4.69621587147964,2.78587836198496,3.08395932614176,1.76544274451976,27.3557670105255,5.39003992472657,3.28017644076186,19.9649994025241,21.6466737887203
"36",3.56658996566103,4.0061266529539,4.42795422119192,2.4184079211268,2.88472519871858,1.51659612071009,17.6092423455872,4.53300424296124,2.85987311856432,14.2587647346457,17.045576383031,3.06684308626062,3.59876563961113,3.92642839589554,1.83055519730914,2.47208408476251,1.1489159178947,12.3285726851702,2.68366962561595,2.34204228343628,11.0596359285624,12.2063532954123,4.06633684506144,4.41348766629668,4.9294800464883,3.00626064494447,3.29736631267464,1.88427632352549,22.8899120060041,6.38233886030654,3.37770395369236,17.457893540729,21.8847994706497
"37",3.89915348651979,4.29594074276842,4.7686862550424,2.75685276933811,3.18962796142236,1.7630295053738,14.2892152821789,5.6951185074617,3.18079513381051,14.0152472838767,19.0138468394326,3.51435629112971,3.98225117100744,4.38255067496821,2.30297149485351,2.87191949204056,1.47963993464207,10.2237336954032,4.2680107447646,2.78131343898605,11.4997409262127,15.1964438988022,4.28395068190988,4.6096303145294,5.15482183511658,3.2107340438227,3.50733643080415,2.04641907610554,18.3546968689546,7.12222627015881,3.58027682863497,16.5307536415407,22.8312497800629
"38",3.80352070709154,4.2675909192226,4.71642102021112,2.76973690521073,3.16750908303286,1.7444222675587,13.6024935348658,5.82531801193427,3.04159540620163,12.6092554281147,17.9203848157803,3.48569301935067,4.0084430979273,4.39751697939688,2.39314317097432,2.90510434201625,1.50998947119811,10.2455912000734,4.642101512783,2.71057728029921,10.4471964202766,14.6748735266148,4.12134839483242,4.52673874051789,5.03532506102537,3.14633063944715,3.42991382404946,1.97885506391928,16.9593958696583,7.00853451108553,3.37261353210404,14.7713144359528,21.1658961049459
"39",3.77566935723322,4.28381133881072,4.72452263236163,2.82549789716671,3.19311597216569,1.77352923922148,12.9253184898365,5.88932555813336,3.03012525011067,11.510485103646,17.9104706735089,3.51315395741256,4.06970768021796,4.46115900720924,2.5124281056243,2.97640150457585,1.57946611276957,10.1538613265897,4.906710604756,2.75545947273136,9.63809494443343,15.1222002186872,4.03818475705389,4.49791499740348,4.98788625751403,3.13856768870912,3.40983043975554,1.96759236567339,15.6967756530833,6.87194051151072,3.30479102748999,13.3828752628585,20.6987411283306
"40",3.68700857152716,4.24881796757272,4.68460234716903,2.76419258584957,3.16389507166903,1.76995365379616,12.990969241341,5.68568728380008,2.90510583269769,10.1889838459851,16.8313362907039,3.4114102554857,4.02382341419827,4.40818386913512,2.42972419676869,2.93642802553075,1.56497276536971,10.0856809363408,4.63723723995899,2.61484163225462,8.06373724740465,13.8992724118277,3.96260688756862,4.47381252094717,4.96102082520295,3.09866097493044,3.3913621178073,1.97493454222261,15.8962575463412,6.73413732764118,3.19537003314076,12.3142304445655,19.76340016958
"41",3.80272226379679,4.30291124062416,4.74309210796383,2.86742234778725,3.21279841211119,1.78397648336846,12.6893183098154,5.9910703671906,3.07687721100173,11.7021252042233,18.3415959328584,3.55492174100112,4.10080205528373,4.49451215824533,2.571285157929,3.00824819304897,1.60062933447183,10.0733675723663,5.06207693304335,2.8167591839532,9.90852571164894,15.6659103254062,4.05052278659245,4.50502042596458,4.99167205768232,3.16355953764551,3.4173486311734,1.96732363226509,15.3052690472644,6.92006380133785,3.33699523805027,13.4957246967977,21.0172815403107
"42",3.80690695913347,4.31278819974539,4.74989959109296,2.90104117037219,3.22609664112372,1.79527118552209,12.418185757262,6.03155941392218,3.09639067857514,11.5941083941173,18.5189404443753,3.55608142950334,4.10816740052858,4.49832320932485,2.59959216861162,3.01908357978063,1.60927642606594,9.77123080701214,5.08652393220756,2.83204223168053,9.73096961057183,15.8015151439109,4.05773248876361,4.5174089989622,5.00147597286106,3.20249017213275,3.43310970246681,1.98126594497824,15.0651407075119,6.9765948956368,3.36073912546974,13.4572471776628,21.2363657448398
"43",3.85632571199903,4.35511063512017,4.79504656375997,2.97681096668975,3.27592170959204,1.8187570547069,11.7971756786861,6.1378925863994,3.16211891555971,11.6175284788978,18.9620495372502,3.62524860027331,4.16617703112904,4.5633961181275,2.68856055896586,3.08527876244516,1.64526545927398,9.36747755724779,5.23636215019811,2.9160958990645,9.60705682698456,16.3711951730722,4.08740282372476,4.5440442391113,5.02669700939245,3.26506137441364,3.46656465673892,1.99224865013982,14.2268738001244,7.03942302260069,3.40814193205492,13.6280001308111,21.5529039014282
"44",3.88538562512501,4.3252955701337,4.77938195236398,2.85450761689447,3.21964996803947,1.76559705364336,13.1875997773696,6.17332938687545,3.15590325124537,13.003159036375,19.0838502357304,3.66546656822678,4.14594781977807,4.55878602827856,2.59164289731005,3.03811244374838,1.60272014331916,10.8648121529092,5.34974317997144,2.92230995109027,11.3823368084195,16.6026418499274,4.10530468202325,4.50464332048934,4.9999778764494,3.1173723364789,3.40118749233056,1.92847396396756,15.51038740183,6.99691559377947,3.38949655140046,14.6239812643304,21.5650586215335
"45",3.76245907507907,4.23303820480907,4.67265489854157,2.72771503266012,3.12870861749727,1.70486460474172,13.743949018335,5.85736120291536,2.95524979582667,12.6358254221984,17.1687944786192,3.45355243163824,3.98101720420351,4.36276239419761,2.35743019051991,2.87369897356726,1.47603206922956,10.4838161124638,4.69552152420826,2.63109767931884,10.3773093237613,13.9615416509075,4.07136571851989,4.48505920541462,4.98254740288554,3.09799987480034,3.38371826142728,1.93369714025387,17.0040819242063,7.01920088162246,3.27940191233451,14.8943415206355,20.376047306331
"46",3.74140264736889,4.22085705174501,4.65914020312855,2.70494255342216,3.11466619761953,1.6944545352146,13.8026301181536,5.87221147724182,2.90259500213155,12.4106897558892,16.6993667310252,3.44284098421835,3.97723751479912,4.35979080940455,2.34265401544856,2.86834191039405,1.47192998029649,10.6519588230735,4.73852520607091,2.58322328213787,10.0896802225751,13.4937026306106,4.03996431051944,4.46447658869091,4.95848959685255,3.06723109139577,3.36099048484502,1.91697909013272,16.9533014132337,7.00589774841273,3.22196672212523,14.7316992892032,19.9050308314397
"47",4.22047459217492,4.50941786876891,5.04258066918764,2.95049878323428,3.40489569568004,1.93789956679379,13.0675066581049,6.2560235091383,3.54763512060952,15.5660113535926,21.553776335916,3.8758021872903,4.2283528044351,4.69677074398827,2.54089799199707,3.12035975859629,1.68333677742139,9.42749261349368,4.96947756058072,3.18805555420864,13.2095913615975,18.0659091788428,4.56514699705954,4.79048293310271,5.388390594387,3.36009957447149,3.68943163276379,2.1924623561662,16.7075207027161,7.54256945769589,3.90721468701039,17.9224313455876,25.0416434929891
"48",4.41787162596616,4.64062377390001,5.21465271570487,3.06367644873201,3.52710341118558,2.04710604881016,12.7865933766219,6.66749861720408,3.77408085462738,16.4290329576029,23.3276851012144,4.1056249782049,4.38592392465715,4.90134752437505,2.69171673334599,3.26929672493844,1.81643493188752,9.49052301274458,5.49900029583605,3.44964074295396,14.2585908412668,20.1455148094755,4.73011827372742,4.89532362314287,5.5279579070347,3.43563616411803,3.78491009743273,2.2777771657328,16.0826637404992,7.83599693857211,4.09852096630081,18.599475073939,26.5098553929533
"49",4.685266614201,4.82705115512976,5.45139940321323,3.27199444683623,3.69269736760434,2.19556026414656,12.5706563210813,7.42911453776586,4.07714317677766,17.4118731978039,25.850426554691,4.44268312301313,4.62917038413242,5.20803553936801,2.9820098538872,3.49244175986017,2.01613961113943,10.0105988323822,6.51899508893839,3.82501932425539,15.671760195044,23.2637360471847,4.92785010538887,5.0249319261271,5.69476326705846,3.56197903978527,3.89295297534852,2.37498091715368,15.1307138097803,8.33923398659333,4.32926702929993,19.1519862005638,28.4371170621972
"50",4.70379614552751,4.76285490536461,5.41439346830053,2.95776322776992,3.65042781719766,2.11359915592343,13.2341913877319,6.3803840026304,4.0905152959192,19.4371639342487,25.125617282605,4.53376051722243,4.6232197822359,5.24415256240386,2.73050085719101,3.51031687587649,1.9828368701575,11.4602593991744,5.67233911186957,3.90660630480281,17.6248714379999,23.0062171364394,4.87383177383259,4.90249002849332,5.58463437419719,3.18502559834884,3.79053875851882,2.24436144168937,15.0081233762895,7.08842889339124,4.27442428703559,21.2494564304974,27.2450174287706
