"","CerebellarVol","SurfaceArea","CerebralVol","AbsGI","FoldingLength","FoldingNumber","Lambda","Delta","CrusVol_1_3","CerebroCerebellar","CerebellarCrus","CerebellarVol-95%CI","SurfaceArea-95%CI","CerebralVol-95%CI","AbsGI-95%CI","FoldingLength-95%CI","FoldingNumber-95%CI","Lambda-95%CI","Delta-95%CI","CrusVol_1_3-95%CI","CerebroCerebellar-95%CI","CerebellarCrus-95%CI","CerebellarVol+95%CI","SurfaceArea+95%CI","CerebralVol+95%CI","AbsGI+95%CI","FoldingLength+95%CI","FoldingNumber+95%CI","Lambda+95%CI","Delta+95%CI","CrusVol_1_3+95%CI","CerebroCerebellar+95%CI","CerebellarCrus+95%CI"
"35",3.28846322960647,3.71635356958791,4.09795635016912,2.06638666224696,2.58738403534765,1.32824836795047,20.8751421037536,3.15823217456127,2.58844897640145,16.0237090498206,15.2497810265041,2.67200624096712,3.21100573934021,3.4770010631852,1.34652995099567,2.07312027195498,0.890037864789527,14.4478657571782,0.833611135252732,1.95566610764959,12.0540935494619,9.81403437249739,3.90492021824582,4.22170139983562,4.71891163715305,2.78624337349825,3.10164779874032,1.7664588711114,27.302418450329,5.4828532138698,3.22123184515331,19.9933245501792,20.6855276805108
"36",3.58412610675709,4.01866118242555,4.44518256243249,2.42401345161767,2.89549341393139,1.53204555043851,17.6236780417038,4.57387523512893,2.84052526547475,14.282011144575,16.8853869161185,3.08417142337982,3.60877647096572,3.94153565987653,1.84018830081131,2.47834474570183,1.17663061313076,12.4095461057102,2.68857418278713,2.32785880211215,11.0662047016985,12.4325500536937,4.08408079013436,4.42854589388537,4.94882946498844,3.00783860242404,3.31264208216095,1.88746048774626,22.8378099776973,6.45917628747073,3.35319172883735,17.4978175874516,21.3382237785434
"37",3.92191087973044,4.31184158369512,4.79013695056396,2.76593754944864,3.2026883390046,1.77828925561346,14.320003901462,5.75851093537301,3.17943091916421,14.1011269524336,18.8881429147201,3.53610777418732,3.99572110628261,4.40163869085823,2.3150389096411,2.88113542830039,1.50378574471901,10.3047414617808,4.3025860580862,2.78310660226256,11.5744044953254,15.3669060728702,4.30771398527356,4.62796206110764,5.17863521026969,3.21683618925617,3.52424124970882,2.05279276650791,18.3352663411431,7.21443581265981,3.57575523606587,16.6278494095419,22.4093797565701
"38",3.80807377960608,4.27098779052224,4.71953476114251,2.77869452089809,3.1703552851386,1.74856694564549,13.5806858881391,5.85022862789742,3.02317484158522,12.6832184219358,17.6180097332614,3.4881073368272,4.00909113489313,4.39753640635792,2.40441300696656,2.90423323174078,1.52070482205971,10.2633156851419,4.64140419275534,2.69351037393522,10.5170303500466,14.6138572586461,4.12804022238497,4.53288444615136,5.0415331159271,3.15297603482963,3.43647733853643,1.97642906923128,16.8980560911364,7.0590530630395,3.35283930923523,14.8494064938251,20.6221622078768
"39",3.76901259865894,4.28040803331932,4.71785815096591,2.83356928904118,3.18982463375913,1.76518244796565,12.899019247336,5.89750033184476,2.98697341939569,11.5542266336615,17.2421582287645,3.50337449835592,4.06325672497099,4.45074580066892,2.5222634200717,2.96946314729309,1.57577230580163,10.1582865671411,4.89194272618727,2.71245935349633,9.68346745709418,14.6541767161516,4.03465069896197,4.49755934166766,4.98497050126289,3.14487515801066,3.41018612022517,1.95459259012968,15.6397519275309,6.90305793750224,3.26148748529504,13.4249858102288,19.8301397413774
"40",3.66163323605368,4.23392915750335,4.65985984405924,2.77948086658044,3.15176958988414,1.7453917882328,12.8878070574519,5.66101880713433,2.85877180851044,10.241545719271,16.0767137845748,3.37931522317118,4.00388462088769,4.37676608457301,2.44617896482815,2.91903485671278,1.54384762619343,10.0092668576788,4.58413093457223,2.56501731187813,8.11669824168855,13.3362767923055,3.94395124893618,4.46397369411901,4.94295360354548,3.11278276833273,3.3845043230555,1.94693595027218,15.7663472572251,6.73790667969644,3.15252630514275,12.3663931968534,18.817150776844
"41",3.80012799799695,4.30202492119311,4.74067550651944,2.87231624829816,3.21116237232716,1.77828811081523,12.6925508950005,6.00728171118902,3.0273518175705,11.7329630822433,17.5947554197041,3.54898678679193,4.09680637544796,4.48821033566628,2.57779937031982,3.00299381262254,1.59907826630277,10.1052636864126,5.05614456424829,2.76734343738902,9.94299056295006,15.1130987626396,4.05126920920197,4.50724346693826,4.9931406773726,3.1668331262765,3.41933093203177,1.9574979553277,15.2798381035884,6.95841885812975,3.28736019775198,13.5229356015366,20.0764120767686
"42",3.81827494217741,4.32165867189333,4.76055434544648,2.91227959611539,3.2324828132329,1.79795771217396,12.440227330091,6.08458166588903,3.05955299180141,11.6711406795766,17.8488757228696,3.56301641348532,4.11331373004775,4.50422356221405,2.61215397777289,3.02134982542221,1.61561483749599,9.82080695996643,5.11567720862624,2.79406841411619,9.81018599039718,15.3232649468519,4.07353347086951,4.53000361373891,5.01688512867891,3.2124052144579,3.44361580104359,1.98030058685193,15.0596477002157,7.05348612315183,3.32503756948663,13.5320953687559,20.3744864988872
"43",3.9088230599392,4.39452254509589,4.84560959396138,3.01258979555612,3.30930775844284,1.85616255476627,11.7974496701511,6.29391583945562,3.17833067448392,11.7873321494415,18.7249743144371,3.66726055830224,4.19866595279885,4.60430055759861,2.72458686091228,3.11217868151179,1.68333562783195,9.38229610265018,5.36252482703475,2.92477484210752,9.78169756092869,16.2776358648698,4.15038556157617,4.59037913739293,5.08691863032414,3.30059273019996,3.50643683537388,2.02898948170059,14.2126032376521,7.2253068518765,3.43188650686032,13.7929667379543,21.1723127640044
"44",3.82590391634553,4.28341383335422,4.72542352539136,2.81416198401483,3.18270773138577,1.72664141629664,13.2070729821019,6.02923754396565,3.01583603529586,12.7441144446417,17.6348931259276,3.60357214784045,4.10162710043996,4.50166352682013,2.55405237079933,2.9982845389179,1.56821177595049,10.9127521246456,5.18825929494323,2.78769452949984,11.1518991741767,15.3861570246545,4.04823568485062,4.46520056626849,4.94918352396259,3.07427159723032,3.36713092385365,1.88507105664278,15.5013938395581,6.87021579298806,3.24397754109189,14.3363297151068,19.8836292272006
