WilsonReederName;English Name;SpecimenID;Wikipedia Name;Hominoidea;Clade;CerebellarVol;SurfaceArea;CerebralVol;AbsGI;FoldingLength;FoldingNumber;Lambda;Delta;CrusVol_obs1;CrusVol_obs2;CrusVol_obs3;CrusVol_1_3;BodyMass;CerebroCerebellar;CerebellarCrus;CerebellarMass;CerebralMass;CrusMass;ROC;ROCCrus
Loris_tardigradus;Red slender loris;NycticebusTardig_08cb;Red_slender_loris;Nonape;Loridae;2,64997341539081;3,20604124509000;3,48729552542898;1,572872;2,11548059659563;1,041392685158225;22,6798;0,978701;NA;NA;NA;NA;-0,7144426909922262;14,54379987513340;NA;3,36441610638303;4,20173821642120;NA;NA;NA
Callithrix_penicillata;Black-pencilled marmoset;OuistitiAPinceau_b4aa;Black-tufted_marmoset;Nonape;Cebidae;2,68564378743553;3,34275712143056;3,59527250773808;1,825680;2,15272563303017;0,845098040014257;25,5491;2,714760;NA;NA;NA;NA;-0,4841261562883209;12,31320981099153;NA;3,16976994372385;4,07939866402640;NA;NA;NA
Trachypithecus_(Trachypithecus)_germaini;Indochinese lutung;PithecusGermaini_6a2c;Indochinese_lutung;Nonape;Colobinae;3,57473465419517;4,15367531545285;4,57964165090012;2,606734;3,04634981446741;1,643452676486187;14,1525;5,727130;NA;NA;NA;NA;NA;9,88764813994664;NA;NA;NA;NA;NA;NA
Saimiri_sciureus;Common squirrel monkey;SaimiriCassiquia_7176;Squirrel_monkey;Nonape;Cebidae;2,94592996250646;3,69090066547378;3,97274029161504;2,279938;2,59763671235285;1,146128035678238;16,2881;4,251440;2,01283722470517;NA;NA;2,01283722470517;-0,0974532206860086;9,40133808722854;11,6656048701069;3,04338318319247;4,07019351230105;2,11029044539118;2,89205980205887;13,2061863931405
Saimiri_sciureus;Common squirrel monkey;SaimiriCassiquia_eb44;Squirrel_monkey;Nonape;Cebidae;2,98095448021523;3,61450225891187;3,88579061811805;2,185199;2,52005868981381;1,230448921378274;16,7394;4,059500;NA;NA;NA;NA;-0,0974532206860086;12,44984263722805;NA;3,07840770090124;3,98324383880405;NA;NA;NA
Lagothrix_lagotricha;Common woolly monkey;SingeLaineuxLago_0f84;Brown_woolly_monkey;Nonape;Atelidae;3,74781828311411;4,25142470821995;4,69359413059449;2,740803;3,18263525765521;1,716003343634799;12,3321;5,550210;2,94138718875374;2,89364908324431;NA;2,94138718875374;0,8543060418010806;11,32984980174666;15,6159678297658;2,89351224131303;3,83928808879341;2,08708114695266;3,67407855679619;18,5058327128320
Varecia_variegata_variegata;Black-and-white ruffed lemur;VariNoirEtBlancL_4d0e;Black-and-white_ruffed_lemur;Nonape;Lemuriformes;3,52852346022257;3,67128744735141;4,20499828592285;1,525707;2,60093113936710;1,414973347970818;22,5551;0,481061;NA;NA;NA;NA;0,5532760461370995;21,06323990560103;NA;2,97524741408547;3,65172223978575;NA;NA;NA
Chlorocebus_sabaeus;Green monkey;VervetCercopithe_72ae;Green_monkey;Nonape;Cercopithecini;3,62003361365398;4,25595851213681;4,72938388200814;2,621512;3,17058516220830;1,812913356642855;13,6511;5,346760;2,70329137811866;2,73091469446694;NA;2,70329137811866;0,6346787521786823;7,77409299887221;12,1131686661205;2,98535486147529;4,09470512982946;2,06861262593998;3,56395742038335;13,7826890357475
Papio_hamadryas;Hamadryas baboon;BabouinCercopith_a723;Hamadryas_baboon;Nonape;Papionini;3,97673036838715;4,47909416373252;4,95357211567582;3,106194;3,39854196279401;1,949390006644913;11,3370;6,369460;3,26505378850401;NA;NA;3,26505378850401;1,1507564398603090;10,54771174794044;19,4233179817065;2,82597392852684;3,80281567581551;2,11429734864371;3,88293974845596;24,1053832140877
Macaca_fascicularis;Crab-eating macaque;MacacaFascicular_3a21;Crab-eating_macaque;Nonape;Papionini;3,75831927643087;4,35517099312627;4,76150498445332;3,135813;3,24805212192767;1,812913356642855;11,9060;6,844290;NA;NA;NA;NA;0,6284911049671229;9,92691474315402;NA;3,12982817146375;4,13301387948620;NA;NA;NA
