WilsonReederName;English Name;SpecimenID;Wikipedia Name;Hominoidea;Clade;CerebellarVol;SurfaceArea;CerebralVol;AbsGI;FoldingLength;FoldingNumber;Lambda;Delta;CrusVol_obs1;CrusVol_obs2;CrusVol_obs3;CrusVol_1_3;BodyMass;CerebroCerebellar;CerebellarCrus;CerebellarMass;CerebralMass;CrusMass;ROC;ROCCrus
Saimiri_sciureus;Common squirrel monkey;SaimiriCassiquia_7176;Squirrel_monkey;Nonape;Cebidae;882,9375000;4907,956055;9391,615234;2,279938;395,946686;14;16,2881;4,2514400;103,00;NA;NA;103,00;0,799;9,40133808722854;11,6656048701069;1105,053191489362;11754,21180725907;128,9111389236546;779,937500;13,2061863931405
Saimiri_sciureus;Common squirrel monkey;SaimiriCassiquia_eb44;Squirrel_monkey;Nonape;Cebidae;957,0937500;4116,254883;7687,597168;2,185199;331,175873;17;16,7394;4,0595000;NA;NA;NA;NA;0,799;12,44984263722805;NA;1197,864518147685;9621,52336420526;NA;NA;NA
Lagothrix_lagotricha;Common woolly monkey;SingeLaineuxLago_0f84;Brown_woolly_monkey;Nonape;Atelidae;5595,2343750;17841,226560;49384,894530;2,740803;1522,773315;52;12,3321;5,5502100;873,75;782,7968750;NA;873,75;7,150;11,32984980174666;15,6159678297658;782,550262237762;6906,97825594406;122,2027972027972;4721,484375;18,5058327128320
Varecia_variegata_variegata;Black-and-white ruffed lemur;VariNoirEtBlancL_4d0e;Black-and-white_ruffed_lemur;Nonape;Lemuriformes;3376,9409010;4691,237793;16032,390630;1,525707;398,961639;26;22,5551;0,4810610;NA;NA;NA;NA;3,575;21,06323990560103;NA;944,598853426573;4484,58479160839;NA;NA;NA
Chlorocebus_sabaeus;Green monkey;VervetCercopithe_72ae;Green_monkey;Nonape;Cercopithecini;4169,0164970;18028,455080;53627,046880;2,621512;1481,102661;65;13,6511;5,3467600;505,00;538,1640642;NA;505,00;4,312;7,77409299887221;12,1131686661205;966,840560528757;12436,69918367347;117,1150278293135;3664,016497;13,7826890357475
Papio_hamadryas;Hamadryas baboon;BabouinCercopith_a723;Hamadryas_baboon;Nonape;Papionini;9478,2982070;30136,593750;89861,179690;3,106194;2503,467529;89;11,3370;6,3694600;1841,00;NA;NA;1841,00;14,150;10,54771174794044;19,4233179817065;669,844396254417;6350,61340565371;130,1060070671378;7637,298207;24,1053832140877
Macaca_fascicularis;Crab-eating macaque;MacacaFascicular_3a21;Crab-eating_macaque;Nonape;Papionini;5732,1728320;22655,361330;57743,750000;3,135813;1770,321411;65;11,9060;6,8442900;NA;NA;NA;NA;4,251;9,92691474315402;NA;1348,429271230299;13583,56857210068;NA;NA;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_32200;Crab-eating_macaque;Nonape;Papionini;5635,6250000;15910,188480;46343,593750;2,549948;1222,707153;36;15,0090;5,5077400;NA;NA;NA;NA;4,251;12,16052650211228;NA;1325,717478240414;10901,80986826629;NA;NA;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_32202;Crab-eating_macaque;Nonape;Papionini;7692,3750000;19574,476560;57027,109380;2,732028;1470,208496;50;14,4063;6,1109300;NA;NA;NA;NA;4,251;13,48897933567328;NA;1809,544812985180;13414,98691601976;NA;NA;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_32204;Crab-eating_macaque;Nonape;Papionini;6636,5000000;16997,755860;46229,140630;2,728749;1316,468872;43;14,0615;5,8808700;NA;NA;NA;NA;4,251;14,35566378600017;NA;1561,162079510703;10874,88605739826;NA;NA;NA
