WilsonReederName;Body mass species mean
Callithrix_humeralifera;0,370
Leontopithecus_chrysomelas;0,655
Saguinus_labiatus;0,520
Saguinus_pileatus;0,525
Saimiri_boliviensis;0,885
Callicebus_cupreus;1,070
Callicebus_regulus;NA
Callicebus_torquatus;1,245
Pithecia_irrorata;NA
Tarsius_dentatus;0,113
Cheirogaleus_adipicaudatus;NA
Cheirogaleus_sibreei;NA
Phaner_electromontis;NA
Avahi_occidentalis;0,801
Propithecus_coquereli;3,729
Eulemur_albifrons;2,336
Eulemur_albocollaris;2,140
Hapalemur_alaotrensis;1,240
Hapalemur_occidentalis;NA
Prolemur_simus;2,150
Varecia_rubra;3,470
Lepilemur_dorsalis;0,870
Lepilemur_edwardsi;0,931
Lepilemur_microdon;0,970
Lepilemur_ruficaudatus;0,805
Galago_thomasi;0,117
Galago_matschiei;0,210
Galago_orinus;NA
Galago_granti;NA
Otolemur_monteiri;1,319
Cercopithecus_petaurista_buettikoferi;3,650
Cercopithecus_petaurista_petaurista;3,357
Cercopithecus_albogularis_erythrarchus;7,751
Cercopithecus_albogularis_kibonotensis;5,494
Cercopithecus_albogularis_kolbi;5,159
Chlorocebus_pygerythrus_hilgerti;4,541
Chlorocebus_pygerythrus_nesiotes;2,804
Chlorocebus_pygerythrus_pygerythrus;4,678
Chlorocebus_pygerythrus_rufoviridis;4,550
Lophocebus_albigena_johnstoni;6,590
Macaca_fascicularis_aurea;4,309
Macaca_fascicularis_fascicularis;3,950
Macaca_fascicularis_fusca;5,018
Macaca_fascicularis_umbrosa;5,783
Macaca_mulatta_mulatta;6,540
Macaca_mulatta_villosa;7,836
Colobus_guereza_kikuyuensis;11,350
Colobus_guereza_matschiei;8,558
Colobus_guereza_occidentalis;8,287
Piliocolobus_badius_badius;7,850
Piliocolobus_badius_waldroni;5,900
Presbytis_femoralis_percura;7,073
Presbytis_femoralis_robinsoni;6,875
Presbytis_melalophos_melalophos;6,293
Presbytis_melalophos_sumatrana;6,749
Presbytis_siamensis_cana;6,320
Presbytis_siamensis_rhionis;5,292
Presbytis_rubicunda_carimatae;7,031
Presbytis_rubicunda_rubicunda;6,162
Hylobates_lar_carpenteri;5,513
Hylobates_lar_entelloides;6,420
Pan_troglodytes_schweinfurthii;38,200
Pan_troglodytes_troglodytes;52,750
Pan_troglodytes_verus;43,950
Pongo_pygmaeus_morio;53,529
Pongo_pygmaeus_pygmaeus;NA
Pongo_pygmaeus_wurmbii;61,463
Saguinus_fuscicollis_fuscus;0,438
Saguinus_fuscicollis_illigeri;0,294
Cebus_nigritus_nigritus;2,681
Cebus_nigritus_robustus;2,877
Cebus_albifrons_unicolor;NA
Cebus_albifrons_versicolor;2,365
Saimiri_sciureus_cassiquiarensis;0,838
Saimiri_sciureus_macrodon;0,824
Saimiri_sciureus_sciureus;0,735
Otolemur_garnettii_garnettii;NA
Otolemur_garnettii_lasiotis;NA
Otolemur_garnettii_panganiensis;1,169
Nycticebus_coucang_coucang;0,653
Nycticebus_coucang_menagensis;0,634
Perodicticus_potto_edwardsi;1,230
Perodicticus_potto_ibeanus;NA
Perodicticus_potto_potto;0,813
Homo_sapiens;65,000
